#离子类型提取自MS-Dial，Mona MS等公开库，以及老版本的自建库
#后续将继续在无法识别的precursor中继续丰富precursor type
#判断两个加合离子峰是否相同的依据
#       type的分子式一致和电荷一致，注意M的系数也应该一致
#       在人工识别重复时，可先根据offset是否一致判断
ionmode,type,offset,n,charge,comment
Negative,[M+DMSO-H]-,77.00611,1,1,
Positive,[M+CH3COO+NH4]+,77.04768,1,1,
Positive,[M+iPrOH+NH4]+,78.09189,1,1,
Negative,[2M+Br]-,78.91834,2,1,
Negative,[M+Br]-,78.91834,1,1,
Positive,[M+DMSO+H]+,79.02176,1,1,
Positive,[M+ACN+K]+,79.99026,1,1,
Negative,[M+CH3COONa-H]-,80.99525,1,1,
Positive,[M+CH3COOH+Na]+,83.0109,1,1,
Positive,[M+iPrOH+Na]+,83.04728,1,1,
Positive,[M+2ACN+H]+,83.06092,1,1,
Positive,[M+HCOO+K]+,83.96136,1,1,
Positive,[M+iPrOH+Na+H]+,84.05511,1,1,
Positive,[M+2ACN+2H]2+,84.06875,1,2,
Negative,[M+HCOO+HCOO]-,89.99531,1,1,
Positive,[M+DMSO+NH4]+,96.04831,1,1,
Positive,[M+CH3COOH+K]+,98.98484,1,1,
Positive,[M+DMSO+Na]+,101.00371,1,1,
Negative,[M+CH3COOH+HAc]-,104.04734,1,1,
Negative,[M+ACN+ACN]-,106.0531,1,1,
Positive,[M+2ACN+2H]+,108.06875,1,1,
Negative,[M+TFA-H]-,112.98504,1,1,
Negative,[M+iPrOH+iPrOH]-,120.11503,1,1,
Positive,[M+3ACN+2H]2+,125.0953,1,2,
Negative,[M+DMSO+DMSO]-,156.02787,1,1,
Positive,[M+3ACN+2H]+,161.0953,1,1,
